Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Sarjli_Kullanim_Suresi,Fiyat,marka
1.0,4,0,1,1,1,1999.0,42
4.0,0,3,0,1,1,12699.0,109
2.0,4,0,1,1,0,5953.0,106
3.0,3,3,0,0,1,44899.0,79
1.0,3,3,0,0,3,84676.0,126
2.0,3,3,0,0,1,12499.0,64
3.0,0,0,0,0,2,21999.0,79
2.0,2,3,0,0,1,9999.0,69
2.0,3,3,0,0,1,20899.0,79
4.0,4,3,0,0,1,21999.0,57
1.0,3,3,0,0,1,156813.0,79
2.0,2,3,0,0,1,6600.0,75
2.0,1,4,0,0,1,15999.0,123
2.0,1,0,0,0,2,351999.0,6
3.0,3,0,0,0,1,16999.0,79
2.0,2,0,0,0,1,49990.0,99
3.0,1,4,0,0,3,9888.0,123
1.0,3,2,0,1,1,219000.0,72
2.0,3,0,0,0,1,12999.0,123
1.0,4,3,0,0,1,115441.0,48
2.0,3,3,0,0,1,9499.0,119
2.0,1,0,0,0,2,334999.0,6
2.0,4,3,0,0,1,6999.0,110
3.0,0,0,0,0,2,215999.0,79
2.0,3,3,0,0,1,39899.0,79
3.0,3,3,0,0,1,242990.0,79
2.0,3,4,0,0,3,9999.0,123
2.0,3,3,0,0,1,39899.0,79
1.0,3,0,0,0,3,11799.0,48
2.0,3,3,0,0,1,16799.0,123
2.0,3,3,0,0,3,10769.0,123
2.0,2,3,0,0,1,10799.0,61
2.0,2,3,0,0,1,330.0,57
2.0,3,3,0,0,1,12399.0,123
2.0,3,0,0,0,3,14299.0,123
2.0,3,0,0,0,1,17499.0,79
3.0,3,1,0,0,1,10999.0,91
2.0,3,3,0,0,1,12999.0,123
3.0,0,0,0,0,2,21999.0,79
1.0,3,3,0,0,1,23000.0,33
2.0,1,3,0,0,1,38043.0,28
1.0,4,0,1,1,1,1999.0,42
2.0,3,3,0,0,3,17399.0,123
2.0,3,3,0,0,1,29899.0,79
2.0,3,3,0,0,1,10299.0,123
2.0,3,0,0,0,3,12999.0,123
2.0,3,3,0,0,1,40000.0,79
2.0,3,4,0,0,1,269999.0,79
2.0,3,0,0,0,1,6650.0,119
2.0,3,0,0,1,1,14169.0,48
2.0,3,0,0,0,1,18599.0,11
2.0,2,3,0,0,1,7550.0,38
2.0,2,3,0,0,1,8999.0,119
2.0,3,3,0,0,1,9725.0,123
4.0,3,0,0,0,2,508.0,57
1.0,4,0,1,1,1,64009.0,27
1.0,3,0,0,1,1,305590.0,28
2.0,1,3,0,0,3,9799.0,123
2.0,1,0,0,0,2,346999.0,6
2.0,0,3,0,0,3,119840.0,122
2.0,3,4,0,1,3,115521.0,30
2.0,2,3,0,0,1,10299.0,123
2.0,3,3,1,0,3,19499.0,119
2.0,3,3,0,0,1,36999.0,79
2.0,3,0,0,0,1,11490.0,120
2.0,3,3,0,0,1,12899.0,119
2.0,3,3,0,0,1,16799.0,123
2.0,3,3,0,0,3,17599.0,123
2.0,3,0,0,0,3,17599.0,123
2.0,3,3,0,0,3,17899.0,123
1.0,0,0,0,1,1,24995.0,69
2.0,2,3,0,0,1,5899.0,64
2.0,2,3,0,0,1,12999.0,64
2.0,3,4,0,0,1,7500.0,98
2.0,3,3,0,0,1,35000.0,79
2.0,3,3,0,0,1,29899.0,79
2.0,3,3,0,0,1,29899.0,79
2.0,3,3,0,0,3,21799.0,79
2.0,3,3,0,0,1,26999.0,66
1.0,4,0,1,1,1,121670.0,112
2.0,3,4,0,0,1,204990.0,112
2.0,3,4,0,0,3,10500.0,97
1.0,3,3,0,0,1,12999.0,123
3.0,3,0,0,0,1,246290.0,79
2.0,2,3,0,0,1,9499.0,64
2.0,3,3,0,0,3,12999.0,123
2.0,3,3,0,0,3,20599.0,123
1.0,4,0,1,1,3,2379.0,124
2.0,2,3,0,0,1,1399.0,43
4.0,3,3,0,0,1,19418.0,94
4.0,3,3,0,0,3,11899.0,113
2.0,3,3,0,0,3,21799.0,79
1.0,1,0,0,0,3,12499.0,122
4.0,3,3,0,0,1,26599.0,79
3.0,3,3,0,0,1,17299.0,79
2.0,3,3,0,0,1,9999.0,116
2.0,0,1,0,0,1,11349.0,19
2.0,3,3,0,0,1,381189.0,79
2.0,3,3,0,0,1,34999.0,79
2.0,3,3,0,0,1,34999.0,79
2.0,3,3,0,0,1,34999.0,79
3.0,0,0,0,0,2,219999.0,79
3.0,0,0,0,0,2,217999.0,79
3.0,0,0,0,0,2,204999.0,79
3.0,0,0,0,0,2,209999.0,79
3.0,0,0,0,0,2,211999.0,79
3.0,0,0,0,0,2,215999.0,79
3.0,0,0,0,0,2,213999.0,79
3.0,0,0,0,0,2,217999.0,79
3.0,0,0,0,0,2,323999.0,79
3.0,0,0,0,0,2,337999.0,79
3.0,0,0,0,0,2,339999.0,79
3.0,0,0,0,0,2,331999.0,79
3.0,0,0,0,0,2,335999.0,79
3.0,0,0,0,0,2,339999.0,79
3.0,0,0,0,0,2,337999.0,79
1.0,3,2,0,0,3,27499.0,79
1.0,3,2,0,0,3,24522.0,79
3.0,3,0,0,0,2,92999.0,40
3.0,3,0,0,0,2,99999.0,40
4.0,3,0,0,0,2,389.0,57
4.0,3,3,0,0,1,27650.0,79
4.0,3,3,0,0,1,28650.0,79
4.0,3,3,0,0,1,26999.0,79
4.0,3,0,0,0,2,22299.0,79
4.0,3,3,0,0,3,22999.0,79
4.0,3,3,0,0,3,23499.0,79
3.0,4,0,1,0,1,14950.0,57
2.0,0,3,0,0,1,7499.0,119
2.0,3,3,0,0,1,23529.0,79
2.0,3,3,0,0,1,28599.0,40
2.0,4,3,0,1,3,8250.0,39
1.0,3,3,0,0,1,12499.0,119
2.0,3,3,0,0,1,16599.0,119
2.0,3,3,0,0,1,12399.0,119
2.0,3,3,0,0,1,12588.0,119
2.0,3,4,0,0,1,13000.0,112
1.0,4,0,1,1,1,9990.0,97
1.0,4,0,0,0,1,12999.0,70
2.0,3,3,0,0,1,285440.0,79
1.0,0,3,0,0,3,257999.0,6
2.0,3,3,0,0,1,13149.0,11
1.0,0,3,1,1,3,11857.0,32
3.0,0,0,0,0,2,312999.0,79
3.0,0,0,0,0,2,333999.0,79
2.0,1,0,0,0,2,28999.0,6
1.0,1,0,0,0,1,10000.0,60
3.0,3,3,0,0,1,20499.0,25
2.0,3,4,0,0,1,10130.0,103
2.0,3,3,0,0,1,19999.0,79
2.0,0,0,0,0,1,9199.0,109
1.0,4,3,1,1,1,10799.0,20
