AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//dreame/vacuum-mop-f9-robot-supurge-dreame-turkiye-garantili-p-49107522?boutiqueId=61&merchantId=106895,7.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//tcl/sweeva-6000m-moplu-siyah-akilli-robot-supurge-resmi-distributor-garantili-p-462214483?boutiqueId=61&merchantId=120477,7.447 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,1500+ L,81 Dba - 90 Dba,,Var,,Yok,,,,1,Toz Torbasız,0 - 30 dk,https://www.trendyol.com//roborock/s7-robot-supurge-otomatik-cop-bosaltma-p-463872421?boutiqueId=620489&merchantId=968,5.499 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//icotech/f10-max-plus-ai-10000-pa-yapay-zekali-titresimli-mop-toz-istasyonlu-akilli-robot-supurge-p-755950537?boutiqueId=61&merchantId=851340,22.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2201 - 2400 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//viomi/viomi-v5-pro-akilli-robot-supurge-p-230975878?boutiqueId=61&merchantId=314538,8.885 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-lite-p-262612534?boutiqueId=61&merchantId=860637,8.400 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/s6-maxv-ai-dual-cam-2-in-1-robot-supurge-p-47584524?boutiqueId=61&merchantId=514600,29.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//ecovacs/deebot-t9-beyaz-renk-akilli-robot-supurge-ve-paspas-turkiye-garantili-p-248192965?boutiqueId=61&merchantId=472332,12.199 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,1001 - 1500 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,11 Dba - 20 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/mop-d9-robot-supurge-p-70200966?boutiqueId=61&merchantId=726621,9.839 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,2401 Watt ve Ãœzeri,,Lazer (LIDAR + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Yok,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//tcl/sweeva-6500-siyah-robot-supurge-turkiye-garantili-p-304298697?boutiqueId=61&merchantId=147861,9.999 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/s8-6000-pa-emis-guclu-titresimli-paspaslama-ile-robot-vakum-xiaomi-tr-garantilidir-p-785753233?boutiqueId=61&merchantId=186468,21.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//sunny/hero-extra-robot-supurge-beyaz-p-656029208?boutiqueId=61&merchantId=533472,5.919 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-beyaz-p-645935276?boutiqueId=61&merchantId=566427,9.799 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//viomi/v2-pro-akilli-robot-supurge-p-40276228?boutiqueId=620489&merchantId=968,"7.679,04 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,500-1500 Watt,,Yok,0-250 L,41 Dba - 50 Dba,,Yok,,Var,,,,1,Robot,30 - 60 dk,https://www.trendyol.com//home/mini-akilli-robot-supurge-p-758741529?boutiqueId=61&merchantId=848576,2.099 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,250-500 L,61 Dba - 70 Dba,,Var,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//vestel/v-bot-robot-supurge-p-115617818?boutiqueId=61&merchantId=105334,3.980 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-akilli-robot-supurge-ve-paspas-2022-model-p-279239046?boutiqueId=61&merchantId=637688,8.850 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-d10s-5000pa-emis-gucu-robot-supurge-mop-p-702382176?boutiqueId=61&merchantId=412540,10.879 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2000 W ve altı,,Jiroskop (SLAM /ESLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//karcher/rcv-3-akilli-robot-supurge-p-637422462?boutiqueId=61&merchantId=112435,11.799 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/s8-pro-ultra-siyah-istasyonlu-robot-supurge-ve-sonic-paspas-p-757390338?boutiqueId=61&merchantId=167992,45.299 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1001 - 1500 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//tcl/sweeva-6500m-mop-rob-supurge-dustbox-p-469422561?boutiqueId=61&merchantId=868897,8.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-l10-ultra-robot-supurge-p-764941685?boutiqueId=61&merchantId=593584,28.999 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//wiami/fx-9-pro-robot-supurge-p-475130517?boutiqueId=61&merchantId=887420,11.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/q7-max-plus-siyah-akilli-robot-supurge-p-316617998?boutiqueId=61&merchantId=601117,24.799 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//yues/ys300-akilli-robot-supurge-vakum-paspas-p-254038095?boutiqueId=61&merchantId=558316,2.969 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-l10-pro-akilli-robot-supurge-beyaz-turkiye-garantili-p-241973624?boutiqueId=61&merchantId=727277,11.455 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Yok,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//tcl/sweeva-6000-siyah-robot-supurge-turkiye-garantili-p-304308445?boutiqueId=61&merchantId=825144,6.950 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,0 - 30 dk,https://www.trendyol.com//hutt/c6-cam-temizleme-robotu-p-292058698?boutiqueId=61&merchantId=106994,8.759 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//fakir/robert-rs770-akilli-robot-supurge-hercules-baskul-hediyeli-p-708271665?boutiqueId=61&merchantId=112264,13.499 TL
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//homend/alex-laser-pro-1286h-moplu-ve-haritalamali-akilli-robot-supurge-beyaz-silver-p-761576767?boutiqueId=61&merchantId=230835,7.299 TL
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,41 Dba - 50 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//dreame/w10-pro-robotik-akilli-supurge-beyaz-p-453753581?boutiqueId=61&merchantId=841371,"48.403,80 TL"
4+ cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,0-250 L,71 Dba - 80 Dba,Var,,Yok,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//irobot/roomba-i7-acik-gri-robot-supurge-p-34850888?boutiqueId=61&merchantId=222627,12.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,5 Dba - 10 Dba,,Var,,Var,,,,,Robot,120 dk ve üzeri,https://www.trendyol.com//vestel/v-bot-pro-robot-supurge-siyah-p-366547829?boutiqueId=620489&merchantId=968,7.579 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//lydsto/r1-cop-istasyonlu-akilli-robot-supurge-beyaz-p-88375769?boutiqueId=61&merchantId=217399,12.499 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,500-1000 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/mi-vacuum-mop-pro-robot-supurge-ve-paspas-beyaz-p-176743934?boutiqueId=61&merchantId=601117,18.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//ezere/ceypaks-cam-pencere-temizleme-robotu-cam-silme-fayans-yuzey-temizleme-robotu-p-90366071?boutiqueId=61&merchantId=108498,"5.451,88 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//lydsto/w2-cift-sterilizasyonlu-su-toz-toplama-uniteli-robot-supurge-turkiye-garantili-p-378784153?boutiqueId=61&merchantId=558599,30.000 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),,250-500 L,31 Dba - 40 Dba,Var,,Var,,Robot,2,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//arcelik/rs-9121-robot-supurge-siyah-p-410401694?boutiqueId=61&merchantId=667835,11.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Sulu,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-s10t-robot-supurge-8000-pa-guclu-emis-gucu-p-767607544?boutiqueId=61&merchantId=566427,14.199 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//peakbay-zirveyi-hisset/cam-pencere-temizleme-robotu-beyaz-cam-silme-fayans-yuzey-dusakabin-temizleme-robotu-p-637358790?boutiqueId=61&merchantId=616755,9.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//miele/scout-rx3-runner-sedefli-bronz-spql-robot-supurge-p-239269749?boutiqueId=61&merchantId=109324,26.999 TL
,1 cm,,1 Yıl,,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//ezere/cam-pencere-temizleme-robotu-cam-silme-fayans-yuzey-temizleme-robotu-beyaz-p-302189181?boutiqueId=61&merchantId=110108,"4.829,99 TL"
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//360/botslab-vacuum-robot-supurge-s8-beyaz-p-182530683?boutiqueId=61&merchantId=107468,6.549 TL
,2 cm,,3 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/2700-pa-3200-mah-wi-fi-baglantisi-170-dk-calisma-suresi-islak-kuru-moplu-robot-supurge-beyaz-p-750380185?boutiqueId=61&merchantId=766219,8.289 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,2401 Watt ve Ãœzeri,,Kamera (VSLAM + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,1,60 - 120 dk,,,,https://www.trendyol.com//ecovacs/deebot-n8-pro-beyaz-renk-akilli-robot-supurge-ve-paspas-resmi-distributor-garantili-p-316603783?boutiqueId=61&merchantId=472332,9.399 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2200 W,,Lazer (LIDAR + SLAM),1500+ L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/rs-8131-robot-supurge-toz-bosaltma-sistemli-p-350047187?boutiqueId=61&merchantId=122689,14.399 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/g10-beyaz-cop-istasyonlu-yikamali-akilli-robot-supurge-p-364239420?boutiqueId=61&merchantId=820455,20.500 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,31 Dba - 40 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//sunny/hero-power-plus-moplu-akilli-robot-supurge-p-349877971?boutiqueId=61&merchantId=533472,7.179 TL
,2 cm,,2 Yıl,,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/premium-3d-engellerden-kacinma-cift-ped-basincli-paspas-ozelligi-robot-supurge-p-784358278?boutiqueId=61&merchantId=881452,"19.464,15 TL"
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//fakir/robert-rs-740-akilli-robot-supurge-p-767762313?boutiqueId=61&merchantId=106392,8.739 TL
,1 cm,,2 Yıl,,,500-1500 Watt,,Yok,250-500 L,61 Dba - 70 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//hutt/xiaomi-ddc55-akilli-cam-temizleme-robotu-p-196055034?boutiqueId=61&merchantId=106994,7.490 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-7000-serisi-3-u-1-arada-islak-kuru-ve-moplu-5000pa-ultra-yuksek-emis-gucu-robot-supurge-p-776684410?boutiqueId=61&merchantId=109514,"37.799,79 TL"
,2 cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//tefal/x-plorer-serie-i-evcil-hayvan-dostu-ve-akilli-robot-supurge-siyah-p-782552825?boutiqueId=61&merchantId=197550,18.699 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,,,120 dk ve üzeri,https://www.trendyol.com//xiaomi/viomi-v2-pro-vacuum-cleaner-lazer-sensor-p-783425197?boutiqueId=61&merchantId=823058,9.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//arcelik/rs-3121-robot-supurge-p-157000408?boutiqueId=61&merchantId=637688,9.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Sulu,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-s10-robot-supurge-p-767602026?boutiqueId=61&merchantId=566427,13.099 TL
4+ cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),,250-500 L,71 Dba - 80 Dba,Var,,Yok,,Robot,,60 - 120 dk,,,,https://www.trendyol.com//irobot/roomba-i7-robot-supurge-p-33093643?boutiqueId=61&merchantId=222627,17.349 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1001 - 1500 Watt,,Lazer (LIDAR + SLAM),0-250 L,81 Dba - 90 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//roborock/s8-plus-robot-siyah-supurge-p-767218315?boutiqueId=61&merchantId=107870,29.999 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,Dikey,60 - 120 dk,https://www.trendyol.com//neutron/neutrobot-akilli-otonom-servis-robotu-p-675468755?boutiqueId=61&merchantId=794365,289.000 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/q8-max-5500-pa-cift-merdaneli-emis-guclu-paspaslama-ile-robot-vakum-xiaomi-tr-garantilidir-p-785788856?boutiqueId=61&merchantId=186468,20.500 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//arcelik/imperium-robo-3-0-rs-9131-robot-supurge-p-450312647?boutiqueId=61&merchantId=787360,15.000 TL
,3 cm,,2 Yıl,,,3000 W,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Yok,,,,,Robot,,https://www.trendyol.com//homend/alex-laser-pro-1286h-moplu-ve-haritalamali-akilli-robot-supurge-beyaz-gold-p-782563136?boutiqueId=61&merchantId=230835,9.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//viomi/robot-vacuum-s9-beyaz-p-68781702?boutiqueId=61&merchantId=449692,12.499 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2200 Watt,,Lazer (LIDAR + SLAM),500-1000 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-mop-2-pro-akilli-robot-supurge-siyah-2022-yeni-model-6934177747236-p-299420190?boutiqueId=61&merchantId=514600,9.579 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//tamamelek/ximeijie-kumandali-robot-supurge-p-299442290?boutiqueId=61&merchantId=253966,2.100 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//homend/alex-laser-pro-1283h-siyah-moplu-ve-haritalamali-akilli-robot-supurge-p-376710277?boutiqueId=61&merchantId=116849,7.399 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//homend/alex-laser-power-1287h-toz-hazneli-moplu-hali-taniyan-robot-supurge-p-765171699?boutiqueId=61&merchantId=230835,16.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//lydsto/w2-lite-8000-pa-sterilizasyonlu-su-toz-toplama-uniteli-yapay-zeka-robot-supurge-p-769559545?boutiqueId=61&merchantId=217399,27.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//fantom/galaxy-xy-38-temizlik-robotu-p-101417741?boutiqueId=61&merchantId=287746,10.699 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-vakum-s10t-8000-pa-emis-gucu-2023-model-tr-garantili-p-470291307?boutiqueId=61&merchantId=566427,14.189 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//karcher/rcv-5-robot-supurge-p-743383996?boutiqueId=61&merchantId=216045,21.000 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//lydsto/g1-akilli-robot-supurge-ve-paspas-beyaz-turkiye-garantili-p-279809640?boutiqueId=61&merchantId=217399,5.599 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//neabot/nomo-q11-toz-hazneli-4000-pa-akilli-robot-supurge-turkiye-garantili-p-117462196?boutiqueId=61&merchantId=109844,15.999 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Kamera (VSLAM + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//irobot/roomba-s9-plus-robot-supurge-p-40939920?boutiqueId=61&merchantId=230167,31.145 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//eufy/anker-robovac-x8-hybrid-akilli-robot-supurge-p-220399540?boutiqueId=61&merchantId=449692,12.433 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Sulu,120 dk ve üzeri,https://www.trendyol.com//philips/islak-ve-kuru-temizlik-yuksek-emis-lazer-navigasyon-kir-bosaltma-3000-seri-robot-supurge-p-774210712?boutiqueId=61&merchantId=153143,"22.217,79 TL"
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//xiaomi/vacuum-e10-robot-supurge-beyaz-p-757342861?boutiqueId=61&merchantId=541766,9.070 TL
,3 cm,,2 Yıl,,,500-1500 Watt,,Yok,0-250 L,21 Dba - 30 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//makita/drc200z-ticari-tip-robot-supurge-akulu-robot-zemin-supurgesi-aku-dahil-degildir-p-332648240?boutiqueId=61&merchantId=420435,"69.238,52 TL"
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//midea/robot-vacuum-cleaner-m9-beyaz-resmi-distributor-garantili-p-722724564?boutiqueId=61&merchantId=107277,8.199 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/s6-pure-akilli-robot-supurge-siyah-p-51107727?boutiqueId=61&merchantId=889095,19.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-2022-model-p-266901121?boutiqueId=61&merchantId=637688,9.617 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//dreame/bot-z10-pro-istasyonlu-robot-supurge-siyah-p-185348489?boutiqueId=61&merchantId=195875,"19.499,99 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/rs-8121-robot-supurge-p-446402421?boutiqueId=61&merchantId=348120,9.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//beko/robo-x-rs-2121-p-159275240?boutiqueId=61&merchantId=869282,8.999 TL
