Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Calisma_Modu_Sayisi,Ozellik,Sarjli_Kullanim_Suresi,url,price
2 ,Yok,250-500,Var,Yok,3,Robot,60 - 120,https://www.trendyol.com//vestel/v-bot-robot-supurge-p-115617818?boutiqueId=61&merchantId=105334,3980.0
2 ,Kamera ,500-1000,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-akilli-robot-supurge-ve-paspas-2022-model-p-279239046?boutiqueId=61&merchantId=637688,8850.0
2 ,Lazer ,0-250,Var,Yok,3,Robot,120,https://www.trendyol.com//dreame/bot-d10s-5000pa-emis-gucu-robot-supurge-mop-p-702382176?boutiqueId=61&merchantId=412540,10879.0
2 ,Jiroskop ,250-500,Var,Var,2,Robot,120,https://www.trendyol.com//karcher/rcv-3-akilli-robot-supurge-p-637422462?boutiqueId=61&merchantId=112435,11799.0
2 ,Lazer ,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s8-pro-ultra-siyah-istasyonlu-robot-supurge-ve-sonic-paspas-p-757390338?boutiqueId=61&merchantId=167992,45299.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//tcl/sweeva-6500m-mop-rob-supurge-dustbox-p-469422561?boutiqueId=61&merchantId=868897,8999.0
2 ,Lazer ,0-250,Var,Var,2,Robot,120,https://www.trendyol.com//dreame/bot-l10-ultra-robot-supurge-p-764941685?boutiqueId=61&merchantId=593584,28999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//wiami/fx-9-pro-robot-supurge-p-475130517?boutiqueId=61&merchantId=887420,11999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/q7-max-plus-siyah-akilli-robot-supurge-p-316617998?boutiqueId=61&merchantId=601117,24799.0
1 ,Yok,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//yues/ys300-akilli-robot-supurge-vakum-paspas-p-254038095?boutiqueId=61&merchantId=558316,2969.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/bot-l10-pro-akilli-robot-supurge-beyaz-turkiye-garantili-p-241973624?boutiqueId=61&merchantId=727277,11455.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//tcl/sweeva-6000-siyah-robot-supurge-turkiye-garantili-p-304308445?boutiqueId=61&merchantId=825144,6950.0
1 ,Yok,0-250,Yok,Yok,3,Robot,0 - 30,https://www.trendyol.com//hutt/c6-cam-temizleme-robotu-p-292058698?boutiqueId=61&merchantId=106994,8759.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//fakir/robert-rs770-akilli-robot-supurge-hercules-baskul-hediyeli-p-708271665?boutiqueId=61&merchantId=112264,13499.0
4+ ,Lazer ,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//homend/alex-laser-pro-1286h-moplu-ve-haritalamali-akilli-robot-supurge-beyaz-silver-p-761576767?boutiqueId=61&merchantId=230835,7299.0
4+ ,Lazer ,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/w10-pro-robotik-akilli-supurge-beyaz-p-453753581?boutiqueId=61&merchantId=841371,484030.0
2,Lazer,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//irobot/roomba-i7-acik-gri-robot-supurge-p-34850888?boutiqueId=61&merchantId=222627,12999.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//vestel/v-bot-pro-robot-supurge-siyah-p-366547829?boutiqueId=620489&merchantId=968,7579.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//lydsto/r1-cop-istasyonlu-akilli-robot-supurge-beyaz-p-88375769?boutiqueId=61&merchantId=217399,12499.0
2,Lazer,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-vacuum-mop-pro-robot-supurge-ve-paspas-beyaz-p-176743934?boutiqueId=61&merchantId=601117,18999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//ezere/ceypaks-cam-pencere-temizleme-robotu-cam-silme-fayans-yuzey-temizleme-robotu-p-90366071?boutiqueId=61&merchantId=108498,54518.0
2 ,Lazer ,1500+,Var,Var,3,Robot,120,https://www.trendyol.com//lydsto/w2-cift-sterilizasyonlu-su-toz-toplama-uniteli-robot-supurge-turkiye-garantili-p-378784153?boutiqueId=61&merchantId=558599,30000.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//arcelik/rs-9121-robot-supurge-siyah-p-410401694?boutiqueId=61&merchantId=667835,11999.0
2 ,Lazer ,250-500,Var,Var,3,Sulu,120,https://www.trendyol.com//xiaomi/mi-s10t-robot-supurge-8000-pa-guclu-emis-gucu-p-767607544?boutiqueId=61&merchantId=566427,14199.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//peakbay-zirveyi-hisset/cam-pencere-temizleme-robotu-beyaz-cam-silme-fayans-yuzey-dusakabin-temizleme-robotu-p-637358790?boutiqueId=61&merchantId=616755,9999.0
2 ,Kamera ,250-500,Var,Yok,3,Robot,120,https://www.trendyol.com//miele/scout-rx3-runner-sedefli-bronz-spql-robot-supurge-p-239269749?boutiqueId=61&merchantId=109324,26999.0
1 ,Yok,0-250,Yok,Var,3,Robot,120,https://www.trendyol.com//ezere/cam-pencere-temizleme-robotu-cam-silme-fayans-yuzey-temizleme-robotu-beyaz-p-302189181?boutiqueId=61&merchantId=110108,48299.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//360/botslab-vacuum-robot-supurge-s8-beyaz-p-182530683?boutiqueId=61&merchantId=107468,6549.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//beko/2700-pa-3200-mah-wi-fi-baglantisi-170-dk-calisma-suresi-islak-kuru-moplu-robot-supurge-beyaz-p-750380185?boutiqueId=61&merchantId=766219,8289.0
